,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Reporting unit,Reporting unit type,State,Peer group,Time period,Number of NWAU,,"Cost per NWAU, constant prices (adjusted for inflation)",,"Peer average cost per NWAU, constant prices (adjusted for inflation)",,Percentage of private patients,,,,,,
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2012Ð13,"6,177",,"$4,700",,"$5,100",,17%,,,,,,
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2013Ð14,"6,532",,"$4,700",,"$4,940",,19%,,,,,,
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2014Ð15,"6,729",,"$4,300",,"$4,950",,16%,,,,,,
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2012Ð13,NP,,NP,,"$4,300",,NP,,,,,,
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2013Ð14,NP,,NP,,"$4,200",,NP,,,,,,
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2014Ð15,NP,,NP,,"$4,080",,NP,,,,,,
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,2012Ð13,"33,359",,"$4,300",,"$4,460",,11%,,,,,,
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,2013Ð14,"33,493",,"$4,500",,"$4,440",,12%,,,,,,
Bankstown Lidcombe Hospital,Hospital,NSW,Large metropolitan hospitals,2014Ð15,"33,605",,"$4,300",,"$4,460",,12%,,,,,,
Bathurst Health Service,Hospital,NSW,Large regional hospitals,2012Ð13,"6,900",,"$6,000",,"$4,450",,14%,,,,,,
Bathurst Health Service,Hospital,NSW,Large regional hospitals,2013Ð14,"6,934",,"$6,200",,"$4,490",,16%,,,,,,
Bathurst Health Service,Hospital,NSW,Large regional hospitals,2014Ð15,"7,001",,"$5,400",,"$4,420",,21%,,,,,,
Belmont Hospital,Hospital,NSW,Medium metropolitan hospitals,2012Ð13,"6,586",,"$4,200",,"$4,300",,21%,,,,,,
Belmont Hospital,Hospital,NSW,Medium metropolitan hospitals,2013Ð14,"6,573",,"$4,200",,"$4,200",,21%,,,,,,
Belmont Hospital,Hospital,NSW,Medium metropolitan hospitals,2014Ð15,"6,778",,"$4,000",,"$4,080",,20%,,,,,,
Blacktown Hospital,Hospital,NSW,Large metropolitan hospitals,2012Ð13,NP,,NP,,"$4,460",,NP,,,,,,
Blacktown Hospital,Hospital,NSW,Large metropolitan hospitals,2013Ð14,NP,,NP,,"$4,440",,NP,,,,,,
Blacktown Hospital,Hospital,NSW,Large metropolitan hospitals,2014Ð15,NP,,NP,,"$4,460",,NP,,,,,,
Bowral Hospital,Hospital,NSW,Medium regional hospitals,2012Ð13,"5,496",,"$4,800",,"$5,100",,15%,,,,,,
Bowral Hospital,Hospital,NSW,Medium regional hospitals,2013Ð14,"6,072",,"$4,500",,"$4,940",,16%,,,,,,
